"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2025","1,013.40","1,082.91","1,087.10","1,009.20","43.50M","-6.45%"
"11/02/2025","1,083.30","1,094.50","1,094.89","1,071.80","8.40M","-1.05%"
"11/01/2025","1,094.80","1,088.71","1,096.80","1,081.90","9.53M","0.56%"
"10/31/2025","1,088.71","1,079.10","1,105.00","1,072.84","24.33M","0.90%"
"10/30/2025","1,079.00","1,107.11","1,129.31","1,043.82","24.49M","-2.54%"
"10/29/2025","1,107.11","1,103.20","1,120.91","1,084.11","20.09M","0.33%"
"10/28/2025","1,103.50","1,138.70","1,149.10","1,078.81","20.74M","-3.09%"
"10/27/2025","1,138.70","1,138.10","1,179.07","1,132.10","26.04M","0.10%"
"10/26/2025","1,137.51","1,116.40","1,142.79","1,114.60","12.25M","1.89%"
"10/25/2025","1,116.40","1,109.10","1,120.80","1,101.20","18.07M","0.65%"
"10/24/2025","1,109.20","1,126.70","1,143.89","1,097.80","23.51M","-1.54%"
"10/23/2025","1,126.60","1,071.80","1,158.79","1,071.80","49.33M","5.11%"
"10/22/2025","1,071.80","1,056.90","1,083.88","1,053.50","21.99M","1.41%"
"10/21/2025","1,056.90","1,100.12","1,114.00","1,052.31","31.33M","-3.95%"
"10/20/2025","1,100.41","1,110.00","1,142.98","1,088.20","17.08M","-0.86%"
"10/19/2025","1,110.00","1,092.40","1,132.80","1,068.20","17.33M","1.62%"
"10/18/2025","1,092.30","1,071.39","1,130.20","1,069.52","22.04M","1.95%"
"10/17/2025","1,071.40","1,145.09","1,156.06","1,021.98","40.70M","-6.44%"
"10/16/2025","1,145.10","1,162.60","1,194.60","1,122.83","33.60M","-1.50%"
"10/15/2025","1,162.60","1,207.72","1,222.20","1,149.49","35.48M","-3.74%"
"10/14/2025","1,207.71","1,293.81","1,318.18","1,143.42","55.80M","-6.65%"
"10/13/2025","1,293.80","1,302.70","1,373.40","1,253.51","78.05M","-0.68%"
"10/12/2025","1,302.70","1,134.81","1,319.50","1,107.90","78.43M","14.80%"
"10/11/2025","1,134.79","1,102.78","1,182.10","1,076.49","52.75M","2.90%"
"10/10/2025","1,102.80","1,255.21","1,278.10","881.06","71.04M","-12.14%"
"10/09/2025","1,255.20","1,307.67","1,318.90","1,224.90","49.89M","-3.97%"
"10/08/2025","1,307.11","1,304.40","1,334.00","1,264.83","46.28M","0.21%"
"10/07/2025","1,304.40","1,223.78","1,340.93","1,205.01","72.74M","6.59%"
"10/06/2025","1,223.80","1,166.91","1,238.79","1,161.71","31.09M","4.88%"
"10/05/2025","1,166.90","1,150.70","1,188.61","1,143.50","17.60M","1.41%"
"10/04/2025","1,150.70","1,189.30","1,189.30","1,136.80","19.75M","-3.25%"
"10/03/2025","1,189.40","1,090.20","1,192.10","1,083.91","36.19M","9.10%"
"10/02/2025","1,090.21","1,026.50","1,098.48","1,022.70","17.87M","6.31%"
"10/01/2025","1,025.50","1,008.60","1,035.90","1,003.30","12.12M","1.68%"
"09/30/2025","1,008.60","1,029.90","1,033.50","993.20","13.61M","-2.12%"
"09/29/2025","1,030.40","993.20","1,035.61","991.21","13.41M","3.75%"
"09/28/2025","993.20","968.60","993.40","962.91","8.86M","2.54%"
"09/27/2025","968.60","960.89","984.69","956.10","11.28M","0.85%"
"09/26/2025","960.40","945.89","966.01","932.40","16.84M","1.60%"
"09/25/2025","945.30","1,018.90","1,019.59","940.29","28.92M","-7.22%"
"09/24/2025","1,018.90","1,016.00","1,034.40","991.94","19.78M","0.28%"
"09/23/2025","1,016.10","992.80","1,027.16","962.79","22.23M","2.35%"
"09/22/2025","992.80","1,047.90","1,050.30","977.00","27.97M","-5.25%"
"09/21/2025","1,047.80","1,043.71","1,081.79","1,039.62","24.49M","0.37%"
"09/20/2025","1,043.90","984.10","1,043.90","983.10","16.00M","6.08%"
"09/19/2025","984.10","981.00","1,002.83","974.42","12.06M","0.32%"
"09/18/2025","981.00","989.80","1,006.30","979.71","14.51M","-0.94%"
"09/17/2025","990.29","955.91","995.00","946.20","16.61M","3.53%"
"09/16/2025","956.49","919.80","959.09","916.70","9.76M","3.99%"
"09/15/2025","919.80","926.40","935.40","910.80","9.01M","-0.72%"
"09/14/2025","926.50","933.80","944.61","922.80","7.61M","-0.78%"
"09/13/2025","933.80","924.90","943.79","922.31","11.43M","0.96%"
"09/12/2025","924.90","902.70","929.51","901.70","9.43M","2.46%"
"09/11/2025","902.70","893.69","903.99","888.71","12.88M","1.01%"
"09/10/2025","893.70","879.90","907.19","877.00","13.68M","1.57%"
"09/09/2025","879.90","878.80","884.90","871.60","5.59M","0.23%"
"09/08/2025","877.91","880.40","885.60","870.11","5.99M","-0.23%"
"09/07/2025","879.90","862.30","883.70","860.70","5.14M","2.21%"
"09/06/2025","860.90","849.80","864.70","849.50","4.47M","1.26%"
"09/05/2025","850.20","843.60","857.51","842.70","3.70M","0.77%"
"09/04/2025","843.70","854.70","856.80","841.10","6.06M","-1.29%"
"09/03/2025","854.70","851.90","864.00","848.90","3.90M","0.34%"
"09/02/2025","851.80","845.79","856.60","840.70","5.32M","0.71%"
"09/01/2025","845.79","857.60","867.30","840.00","7.60M","-1.38%"
"08/31/2025","857.60","861.90","867.60","857.00","3.45M","-0.50%"
"08/30/2025","861.90","862.20","863.80","851.70","3.27M","-0.05%"
"08/29/2025","862.30","873.51","878.00","850.50","8.44M","-1.28%"
"08/28/2025","873.51","855.50","880.98","851.32","8.29M","2.12%"
"08/27/2025","855.41","863.80","867.10","853.29","4.91M","-0.96%"
"08/26/2025","863.70","839.30","867.90","830.35","7.84M","2.92%"
"08/25/2025","839.20","876.50","880.70","833.69","13.76M","-4.25%"
"08/24/2025","876.50","880.50","886.60","860.00","10.86M","-0.47%"
"08/23/2025","880.60","900.20","900.20","875.90","9.90M","-2.14%"
"08/22/2025","899.81","839.30","900.49","839.20","11.91M","7.21%"
"08/21/2025","839.30","869.00","883.90","833.70","9.08M","-3.43%"
"08/20/2025","869.10","824.00","880.88","818.70","12.77M","5.50%"
"08/19/2025","823.81","846.60","851.80","823.10","7.23M","-2.69%"
"08/18/2025","846.60","855.20","858.50","825.30","9.83M","-0.99%"
"08/17/2025","855.11","838.60","863.79","838.20","5.44M","1.97%"
"08/16/2025","838.60","827.80","839.20","825.30","3.73M","1.29%"
"08/15/2025","827.90","840.49","853.50","812.90","7.32M","-1.49%"
"08/14/2025","840.40","848.00","869.29","821.97","20.68M","-0.90%"
"08/13/2025","848.00","832.50","858.90","828.40","17.26M","1.85%"
"08/12/2025","832.60","805.10","839.80","797.90","13.88M","3.42%"
"08/11/2025","805.10","806.90","827.20","792.60","20.84M","-0.22%"
"08/10/2025","806.90","798.80","815.40","793.70","12.18M","1.03%"
"08/09/2025","798.70","793.50","819.00","792.80","16.91M","0.67%"
"08/08/2025","793.40","788.90","798.30","781.10","31.97M","0.58%"
"08/07/2025","788.80","769.70","788.80","764.70","15.75M","2.48%"
"08/06/2025","769.70","755.01","774.90","746.50","9.53M","1.93%"
"08/05/2025","755.10","768.50","769.60","745.52","9.07M","-1.74%"
"08/04/2025","768.50","751.40","769.50","750.40","13.29M","2.28%"
"08/03/2025","751.40","736.70","755.30","730.20","9.17M","2.00%"
"08/02/2025","736.70","757.20","770.20","732.50","15.25M","-2.71%"
"08/01/2025","757.20","783.20","795.40","745.40","25.74M","-3.32%"
"07/31/2025","783.20","793.40","813.30","781.60","22.92M","-1.29%"
"07/30/2025","793.40","805.10","811.49","766.81","29.63M","-1.49%"
"07/29/2025","805.40","824.00","834.80","800.30","30.18M","-2.26%"
"07/28/2025","824.00","843.60","860.70","820.91","31.67M","-2.32%"
"07/27/2025","843.59","793.00","846.89","791.20","20.65M","6.38%"
"07/26/2025","793.00","785.40","797.90","778.40","10.21M","0.97%"
"07/25/2025","785.40","770.30","785.70","752.40","28.34M","1.96%"
"07/24/2025","770.30","776.70","785.99","743.00","34.15M","-0.87%"
"07/23/2025","777.10","787.50","809.60","752.88","53.40M","-1.26%"
"07/22/2025","787.00","766.70","788.19","745.20","39.96M","2.73%"
"07/21/2025","766.10","756.80","781.80","746.30","27.69M","1.19%"
"07/20/2025","757.10","733.10","760.70","731.50","19.80M","3.29%"
"07/19/2025","733.00","729.89","742.20","719.20","14.40M","0.38%"
"07/18/2025","730.20","720.89","765.09","719.00","32.98M","1.32%"
"07/17/2025","720.70","708.80","727.70","707.30","28.70M","1.78%"
"07/16/2025","708.10","689.80","715.40","685.30","14.99M","2.64%"
